,recipe_title,star_rating,rating_count,review_count,Prep Time,Cook Time,Total Time,Servings,Yield,writeup,ingr,steps,category,Additional Time,Chill Time,Marinate Time,Rest Time
810,Clone of a Cinnabon,4.8,"(7,881)","5,930",20 mins,15 mins,3 hrs,12,12 rolls,,"['1 cup warm milk (110 degrees F/45 degrees C)', '2  eggs, room temperature', '⅓ cup margarine, melted', '4 ½ cups bread flour', '1 teaspoon salt', '½ cup white sugar', '2 ½ teaspoons bread machine yeast', '1 cup brown sugar, packed', '2 ½ tablespoons ground cinnamon', '⅓ cup butter, softened', ""1 ½ cups confectioners' sugar"", '¼ cup butter, softened', '1 (3 ounce) package cream cheese, softened', '½ teaspoon vanilla extract', '⅛ teaspoon salt']","['Prepare dough: Place milk, eggs, margarine, flour, salt, white sugar, and yeast in the pan of a bread machine in the order recommended by the manufacturer. Select dough cycle; press Start.', 'When dough has doubled in size, turn it out onto a lightly floured surface. Cover it with a kitchen towel or plastic wrap and let it rest for 10 minutes.', 'Roll dough on a lightly floured surface to a 16x21-inch rectangle.', 'Prepare filling: Combine brown sugar and cinnamon in a small bowl. Spread softened butter over the dough, then sprinkle cinnamon-sugar mixture evenly over top.', 'Starting at the longer end, roll up the dough; cut into 12 rolls. Place rolls in a lightly greased 9x13-inch baking pan. Cover and let rise until nearly doubled, about 30 minutes.', 'Meanwhile, preheat the oven to 400 degrees F (200 degrees C).', 'Bake rolls in the preheated oven until golden brown, about 15 minutes.', ""While rolls are baking, prepare icing: Beat confectioners' sugar, butter, cream cheese, confectioners' sugar, vanilla, and salt until creamy."", 'Spread icing on warm rolls before serving.']",breakfast-and-brunch,2 hrs 25 mins,,,
811,Simple Whole Wheat Bread,4.8,"(2,506)","1,984",25 mins,25 mins,2 hrs 50 mins,36,3 loaves,,"['3 cups warm water (110 degrees F/45 degrees C)', '2 (.25 ounce) packages active dry yeast', '⅔ cup honey, divided', '5 cups bread flour', '5 tablespoons butter, melted, divided', '1 tablespoon salt', '4 cups whole wheat flour, or more as needed']","['Mix warm water, yeast, and 1/3 cup honey in a large bowl to dissolve. Add 5 cups bread flour, and stir to combine. Let sit for 30 minutes, or until big and bubbly.', 'Mix in 3 tablespoons melted butter, remaining 1/3 cup honey, and salt. Stir in 2 cups whole wheat flour. Transfer dough to a floured work surface and gradually knead in remaining 2 cups whole wheat flour. Knead until dough starts to pull away from the work surface, adding more whole wheat flour if necessary; dough should be a bit tacky to the touch, but not too sticky.', 'Place in a greased bowl, turning once to coat the surface of the dough. Cover with a dish towel and let rise in a warm place until doubled, 45 minutes to 1 hour.', 'Grease three 9x5-inch loaf pans. Punch down the dough, and divide it into 3 loaves. Place in the prepared loaf pans, and allow to rise until dough has topped the pans by one inch, another 45 minutes to 1 hour.', 'Meanwhile, preheat the oven to 350 degrees F (175 degrees C).', 'Bake the risen loaves in the preheated oven until golden brown for 25 to 30 minutes, do not overbake.', 'Lightly brush the tops of the loaves with remaining 2 tablespoons melted butter when done to prevent crust from getting hard. Cool completely.']",healthy-recipes,2 hrs,,,
812,Bannock,4.4,(221),168,10 mins,30 mins,40 mins,12,1 loaf,,"['3 cups all-purpose flour', '2 tablespoons baking powder', '1 teaspoon salt', '1 ½ cups water', '¼ cup butter, melted']","['Stir together flour, baking powder, and salt in a large bowl. Pour water and melted butter over flour mixture. Stir with a fork to make a ball.', 'Turn dough out onto a lightly floured surface; knead gently about 10 times. Pat into a flat circle, 3/4- to 1-inch thick.', 'Warm a greased frying pan over medium heat.', 'Place dough in the hot pan and cook until browned, about 15 minutes per side. Use two lifters for easy turning.', 'The bread can also be baked on a greased baking sheet at 350 degrees F (175 degrees C) for 25 to 30 minutes.']",appetizers-and-snacks,,,,
813,Zucchini-Chocolate Chip Muffins,4.8,"(1,018)",782,15 mins,20 mins,50 mins,12,12 muffins,,"['1 ½ cups all-purpose flour', '¾ cup white sugar', '1 teaspoon baking soda', '1 teaspoon ground cinnamon', '½ teaspoon salt', '1  egg, lightly beaten', '½ cup vegetable oil', '¼ cup milk', '1 tablespoon lemon juice', '1 teaspoon vanilla extract', '1 cup shredded zucchini', '½ cup miniature semisweet chocolate chips', '½ cup chopped walnuts']","['Preheat the oven to 350 degrees F (175 degrees C). Grease 12 muffin cups, or line with paper muffin liners.', 'Combine flour, sugar, baking soda, cinnamon, and salt in a large bowl. Mix egg, oil, milk, lemon juice, and vanilla extract in a bowl. Stir wet ingredients into dry ingredients until just moistened. Fold in zucchini, chocolate chips, and walnuts.', 'Fill prepared muffin cups 2/3 full with batter.', 'Bake in the preheated oven until a toothpick inserted into the center of a muffin comes out clean, 20 to 25 minutes.']",bread,15 mins,,,
814,Moist Chocolate Muffins,4.4,(642),515,15 mins,20 mins,45 mins,12,1 dozen,"Wake up on the right side of the bed with this chocolate muffin recipe, made incredibly moist by carefully chosen ingredients. Bake the best chocolate muffins of your life with this top-rated recipe. This chocolate muffin recipe utilizes a secret, moisture-packed ingredient to keep dryness at bay: yogurt! It also calls for milk, vegetable oil, and a whole egg — all ingredients that help add and retain moisture. You might already have everything you need to make these moist chocolate muffins on hand. If not, here's what you'll need to put on your grocery list: FlourAll-purpose flour gives structure to baked goods and helps hold the batter together. SugarOne cup of white sugar adds the perfect amount of sweetness. Cocoa Powder and Chocolate ChipsThis muffin recipe has a double dose of chocolatey flavor. You'll need a cup of chocolate chips and a ½ cup of cocoa powder. Baking SodaA teaspoon of baking soda acts as a leavener, which means it helps the batter rise and ensures a light and fluffy result. YogurtNot only does yogurt add a ton of moisture, it lends subtle tang to the chocolate muffins. MilkMilk moistens the batter, adds flavor, and helps create a soft texture. OilThis recipe calls for vegetable oil, but canola oil would also work. EggA whole egg is yet another moisture imparting ingredient. Also, it helps bind the batter together and gives the muffins a rich flavor. VanillaA teaspoon of vanilla extract adds complexity and helps enhance the overall flavor. You'll find the full, step-by-step recipe below — but here's what you can expect when you make these top-rated chocolate muffins: Mix the dry ingredients (flour, sugar, 3/4 cup chocolate chips, cocoa powder, and baking soda) in one bowl and the wet ingredients (yogurt, milk, oil, egg, and vanilla) in another. Pour the yogurt mixture into the flour mixture, then stir until smooth. Prepare a muffin tin with muffin liners. Fill the liners about ¾ full, then sprinkle the remaining chocolate chips over the top. Bake in a preheated oven until a toothpick inserted into the center comes out clean. Cool in the pan for about 10 minutes, then transfer to a wire rack to cool completely. Allow the muffins to cool completely before transferring them to an airtight container lined with paper towels. Arrange them in a single layer, then place a paper towel on top to absorb excess moisture. Seal the container and store at room temperature for about four days. Want to go the extra mile to prevent your muffins from getting mushy? Here's a genius tip from Allrecipes community member ValerieB333: ""To keep topping from being soggy the next day, put a few saltine crackers in with the muffins when you store them (to absorb moisture). This also works to keep crunchy cookies from becoming soft."" Learn more: How to Store Muffins to Keep Them Fresh Yes! You can freeze chocolate muffins. Cool them completely before wrapping each one individually in storage wrap. Place the wrapped muffins in a freezer-safe bag or container. Freeze for up to three months. Thaw at room temperature or gently microwave them. ""I made these muffins with sour cream instead of yogurt and added a little salt,"" says Stephanie. ""They were amazing! So moist and chocolatey. I shared some with my mom and her husband and they couldn't believe how delicious they were."" ""I made these into MINI muffins instead and they turned out great,"" according to Marisol Sanchez. ""When making minis you'll want to make sure to cut the baking time in half. I also added an extra 2 minutes more for a total of 12 min of baking time."" ""Loved these muffins,"" raves Dena. ""I followed the recipe exactly. They rose beautifully. The insides were very light and almost fluffy. Kid-tested and approved!"" Editorial contributions by Corey Williams ","['2 cups all-purpose flour', '1 cup white sugar', '1 cup semisweet chocolate chips, divided', '½ cup unsweetened cocoa powder', '1 teaspoon baking soda', '1 cup plain yogurt', '½ cup milk', '½ cup vegetable oil', '1 large egg', '1 teaspoon vanilla extract']","['Preheat the oven to 400 degrees F (200 degrees C). Line 12 muffin cups with paper muffin liners.', 'Combine flour, sugar, 3/4 cup chocolate chips, cocoa powder, and baking soda in a large bowl.', 'Whisk yogurt, milk, oil, egg, and vanilla in separate bowl until smooth. Pour yogurt mixture into the chocolate mixture and stir until batter is just blended.', 'Fill prepared muffin cups 3/4 full and sprinkle with remaining 1/4 cup chocolate chips.', 'Bake in the preheated oven until a toothpick inserted in the center comes out clean, about 20 minutes.', 'Cool in the pans for 10 minutes before removing to cool completely on a wire rack.']",bread,10 mins,,,
815,Ooey-Gooey Cinnamon Buns,4.7,"(1,413)","1,113",35 mins,25 mins,3 hrs 10 mins,15,15 buns,"Whether on the brunch menu or served as dessert, warm gooey cinnamon buns are always a winner. Everyone will love the taste of these cinnamon-packed yeast rolls with a sweet and sticky pecan glaze (and you'll love that they only take 35 minutes of active work to make). Say ""goodbye"" to store-bought cinnamon buns forever — you'll be making this recipe until the end of time. Cinnamon buns, also called cinnamon rolls, originated in Europe. They were brought to America by German and Swedish immigrants and have since become a sweet breakfast staple across the country. You'll find the step-by-step recipe below, but here's what you can expect when making these cinnamon buns: Activate the yeast by combining water, sugar, and yeast. Let stand until the mixture is foamy. Then combine, warm milk, sugar, butter, and salt until melted. Add both the milk and yeast mixtures to a bowl with eggs and flour. Mix until a dough forms. Turn the dough onto a floured surface and knead until smooth. Place dough in an oil-coated bowl and cover with a damp cloth. Allow to rise until the dough has doubled in size. Mix butter and brown sugar in a saucepan over medium heat until smooth. Pour glaze into a greased baking pan and top with ½ cup of pecans. Melt butter and set it aside. Combine brown sugar, pecans, and cinnamon in another bowl. Turn the dough onto a floured surface and roll it into a rectangle. Brush the dough with butter, then sprinkle with the filling mixture. Roll the dough tightly into a spiral and top with the rest of the melted butter. Cut the dough into equal-sized cinnamon buns and place them in the pan with the glaze (cut-side down). Cover the pan and let the buns rise until doubled in size. Bake the cinnamon buns until golden brown. Invert the pan so the glaze is on the top. Add any remaining glaze from the pan to the cinnamon buns. Learn more: How to Make Homemade Cinnamon Rolls From Scratch If you follow this recipe, you should have perfect cinnamon buns in 25 to 30 minutes. You'll know the cinnamon rolls are done when the tops are golden brown. This recipe calls for a simple glaze made with butter and brown sugar. If you want to add extra icing to the top, you can also make a cream cheese icing using The Perfect Cinnamon Roll Icing recipe. Store cinnamon buns covered or in an airtight container at room temperature for three days or in the refrigerator for five days. Reheat the cinnamon rolls in the microwave or oven to make them gooey again. You can freeze the entire pan of cinnamon buns or each cinnamon roll individually. To freeze the pan, wrap the whole thing (pan and all) in a layer of plastic wrap then a layer of aluminum foil. Freeze for up to three months. To freeze individual cinnamon buns, place each bun into an airtight container or zip-top freezer bag. Freeze for up to three months. Thaw in the fridge overnight, then reheat in the oven. ""Yummy is the best word for these dreamy little buns! - I doubled both the topping and the filling and was rewarded with a delicious sweet cinnamon taste. Judging from the reaction from my 3 and 4 year olds (they are dancing around while eating!) I'll be keeping this recipe close,"" says one Allrecipes member. ""I made the rolls the night before, placing the pan in the fridge overnight still covered with the damp cloth from the first rise. Perfect! Take them out about 35 minutes before you plan to bake and let them come to room temperature. Bake as directed. Gooey and delicious and the long, slow rise makes them very light,"" according to truilo. ""They were wonderful! The bun was light and fluffy. The sauce was also good but will try adding maple syrup to the sauce next time to give it that extra gooeyness. The family loved them also. Yeah, it's a keeper,"" raves MsBootheel. Editorial contributions by Bailey Fink ","['½ cup warm water (110 degrees F/45 degrees C)', '1 teaspoon white sugar', '1 (.25 ounce) package active dry yeast', '½ cup milk', '¼ cup white sugar', '¼ cup unsalted butter', '1 teaspoon salt', '2 large eggs, beaten', '4 cups all-purpose flour', '¾ cup unsalted butter', '¾ cup brown sugar', '½ cup chopped pecans', '¼ cup unsalted butter, melted', '¾ cup brown sugar', '½ cup chopped pecans', '1 tablespoon ground cinnamon']","['Prepare dough: Pour water into a liquid measure. Add 1 teaspoon sugar and active dry yeast; stir until dissolved. Let stand until foamy, about 10 minutes.', 'Meanwhile, warm milk in a small saucepan over medium heat until it just starts to bubble around the edges; do not boil. Remove from the heat and stir in 1/4 cup sugar, 1/4 cup butter, and salt until melted. Let cool until lukewarm.', 'Lightly whisk 2 eggs in a large bowl. Add yeast mixture, lukewarm milk mixture, and 1 1/2 cups flour; stir until well combined. Mix in remaining flour, 1/2 cup at a time, mixing well after each addition, until dough comes together.', 'Turn dough out onto a lightly floured surface and knead until smooth, silky, and elastic, about 8 minutes.', 'Place dough in an oiled bowl and turn to coat with oil. Cover with a damp cloth and let rise in a warm place until doubled in volume, about 1 hour.', 'While the dough is rising, prepare glaze: Melt 3/4 cup butter in a small saucepan over medium heat. Add 3/4 cup brown sugar and whisk until smooth.', 'Grease a 9x13-inch pan. Pour glaze mixture into the pan; sprinkle 1/2 cup pecans over top.', 'Prepare filling ingredients: Place melted butter in a small bowl. Combine brown sugar, pecans, and cinnamon for filling in another bowl.', 'When the dough has doubled in size, turn it out onto a lightly floured surface. Roll into a 14x18-inch rectangle. Brush 1/2 of the melted butter over the dough, leaving a 1/2 inch border unbuttered. Sprinkle brown sugar mixture over top. Start at the long edge and roll the dough tightly, pinching the seams to seal. Brush remaining butter over the dough.', 'Cut dough into 15 equal rolls. Place rolls, cut-sides down, in the glaze in the prepared pan. Cover and let rise until double in size, about 1 hour.', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Uncover and bake in the preheated oven until golden brown, 25 to 30 minutes.', 'Let cool in pan for 3 minutes, then invert onto a serving platter so the glaze is on top. Scrape any remaining glaze from the pan onto the rolls.']",breakfast-and-brunch,2 hrs 10 mins,,,
816,Extreme Banana Nut Bread 'EBNB',4.7,"(2,686)","2,292",15 mins,1 hrs,1 hrs 50 mins,24,2 9x5-inch loaves,,"['2 cups all-purpose flour', '2 teaspoons baking soda', '1 teaspoon salt', '2 cups white sugar', '1 cup butter, softened', '2 cups mashed overripe bananas', '4 large eggs, beaten', '1 cup chopped walnuts']","['Preheat the oven to 350 degrees F (175 degrees C). Grease and flour two 9x5-inch loaf pans.', 'Sift flour, baking soda, and salt into a large bowl.', 'Cream sugar and butter together in a separate bowl. Stir in bananas, eggs, and walnuts until well blended.', 'Pour wet ingredients into flour mixture and stir just until blended. Divide the batter evenly between the two prepared pans.', 'Bake in the preheated oven until a paring knife inserted into the crown of each loaf comes out clean, 60 to 70 minutes.', 'Remove from the oven and let loaves cool in the pans for at least 5 minutes. Turn out onto a cooling rack, and let cool completely, about 30 minutes.', 'Slice and serve. For more intense flavor, wrap each loaf in aluminum foil to keep in the moisture, then refrigerate for at least 2 hours before serving.', 'This is a very flexible recipe that will accommodate changes based on what you have on hand. You can use margarine, shortening, or oil (or any type of fat) in place of the butter, and brown sugar in place of white sugar.', ""This bread is so good you may want to hide it from yourself, your spouse, kids, neighbors, and contractors who may be downwind, until ready to serve. Pre-print 8 or 10 small recipe sheets and leave them wherever you put this bread, otherwise you'll have lots of people bugging you for the recipe!""]",bread,35 mins,,,
817,Real Sopapillas,4.6,(312),243,30 mins,15 mins,45 mins,24,2 dozen,,"['4 cups all-purpose flour', '4 tablespoons shortening', '2 teaspoons baking powder', '1 teaspoon salt', '1 ½ cups warm water', '2 quarts oil for frying']","['Stir together flour, shortening, baking powder, and salt in a large bowl. Stir in water; mix until dough is smooth. Cover and let stand for 20 minutes.', 'Heat oil in a deep fryer to 375 degrees F (190 degrees C).', 'Roll dough out on a floured board until 1/8- to 1/4-inch thick. Cut into 3-inch squares.', 'Fry dough squares in the preheated oil until golden brown on both sides. Drain on paper towels and serve hot.', 'We have determined the nutritional value of oil for frying based on a retention value of 10% after cooking. The exact amount may vary depending on cook time and temperature, ingredient density, and the specific type of oil used.']",appetizers-and-snacks,,,,
818,Pumpkin Muffins with Streusel Topping,4.8,(420),351,30 mins,25 mins,55 mins,18,1 1/2 dozen muffins,,"['2 ½ cups all-purpose flour', '½ cup rolled oats', '4 teaspoons pumpkin pie spice', '2 teaspoons baking soda', '1 teaspoon baking powder', '1 teaspoon salt', '1 ½ cups pumpkin puree', '1 cup brown sugar', '1 cup white sugar', '⅔ cup vegetable oil', '½ cup applesauce', '3  eggs', '1 teaspoon vanilla extract', '¼ cup raisins (Optional)', '¼ cup packed brown sugar', '2 tablespoons butter, softened', '2 tablespoons rolled oats', '2 tablespoons all-purpose flour']","['Preheat oven to 350 degrees F (175 degrees C). Grease or line 18 muffin cups with paper liners.', 'Combine 2 1/2 cups flour, 1/2 cup oats, pumpkin pie spice, baking soda, baking powder, and salt together in a bowl. Whisk pumpkin puree, 1 cup brown sugar, white sugar, vegetable oil, applesauce, eggs, and vanilla extract together in a separate large bowl. Stir flour mixture into pumpkin mixture; mix well. Fold in raisins.', 'Beat 1/4 cup brown sugar with butter in a bowl until creamy and smooth. Whisk 2 tablespoons oats and 2 tablespoons flour, using a fork, into sugar-butter mixture until streusel topping is crumbly.', 'Pour the batter into the prepared muffin tin. Sprinkle each muffin with streusel topping.', 'Bake in the preheated oven until a toothpick inserted in the center of a muffin comes out clean, 25 to 35 minutes.']",bread,,,,
819,Ultimate Banana Muffins,4.9,(415),344,15 mins,20 mins,35 mins,12,12 muffins,,"['1 ½ cups all-purpose flour', '1 teaspoon baking powder', '1 teaspoon baking soda', '1 teaspoon ground cinnamon', '½ teaspoon salt', '1 pinch ground nutmeg', '3  bananas (ripe or very ripe work best)', '½ cup white sugar', '⅓ cup butter, melted', '¼ cup lightly packed brown sugar', '1 large egg', '1 teaspoon vanilla extract', '¼ cup chopped walnuts (Optional)']","['Preheat the oven to 350 degrees F (175 degrees C). Grease a muffin tin.', 'Sift flour, baking powder, baking soda, cinnamon, salt, and nutmeg together in a small bowl.', 'Mash bananas in a large bowl. Mix in white sugar, melted butter, brown sugar, egg, and vanilla extract. Fold in flour mixture until just combined. Fold walnuts into the batter.', 'Divide batter evenly among the prepared muffin cups.', 'Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 20 minutes.']",bread,,,,
820,Homemade Hamburger Buns,4.9,(886),729,20 mins,15 mins,3 hrs 45 mins,8,8 buns,"Sure, you could buy hamburger buns at the grocery store — but where's the fun in that? It's easier than you think to make homemade hamburger buns, and they're way more delicious than the store-bought alternative. It couldn't be easier to make these homemade hamburger buns. You'll find the step-by-step recipe below — but here's a brief overview of what you can expect: Begin by proofing the yeast with some of the flour. Once the yeast is foamy, add the remaining flour, an egg, butter, sugar, and salt. Fit a stand mixer with a dough hook and knead the dough, scraping the sides often, until it's soft and sticky. Transfer the dough to a floured surface and form into a smooth, round ball. Tuck the ends underneath and return the dough to an oil-drizzled stand mixer bowl. Ensure the dough is coated with oil, then cover and allow to rise in a warm place until it has doubled in size. Transfer the dough back to the floured work surface. Pat into a slightly rounded rectangle, then cut into eight equal squares. Use your hands to shape and pat the squares into discs. Arrange the buns on a floured baking sheet, cover, and let rise until they've doubled in size. Brush the buns with an egg wash and sprinkle with sesame seeds. Bake in a preheated oven until lightly browned. Remove from the oven, allow the buns to cool, and slice in half lengthwise to serve. What's the point of homemade hamburger buns if you don't have homemade hamburger patties to go in them? Try one of these top-rated recipes: Juiciest Hamburgers EverBest Turkey BurgersQuinoa Black Bean BurgersRanch BurgersBacon-Wrapped Hamburgers Or, explore our entire collection of Burger Recipes. Store the homemade hamburger buns in an airtight container or wrapped in foil at room temperature for up to five days. Avoid short term refrigeration, as this will dry them out. Yes, you can freeze homemade hamburger buns (though they're best enjoyed fresh). Transfer the cooled buns to a freezer-safe container, then wrap in a layer of foil. Label with the date and freeze for up to two months. Thaw on a paper towel at room temperature. When it's about halfway thawed, flip the bun, and replace the paper towel. ""This recipe was so simple and fun to make,"" according to Kris Allfrey. ""The hamburger buns were so light and the crumb texture was perfect. I followed the recipe and Chef John's instructions to the letter. I wouldn't change a thing about this recipe. They are excellent for pulled-pork sandwiches."" ""I didn't make any changes except for what I put on top of the buns. I put dried onion, parsley, sesame seeds, and poppy seeds,"" says Ron Doty-Tolaro. ""Also, as a rule of thumb, when making any kind of rising bread, lightly push in on the dough with one finger. If the dough is ready it will bounce back out. If the indentation stays in, knead it more."" ""Loved the buns,"" raves Mysti Williams. ""I made them for burgers the first time. Tonight, I'm making them for Sloppy Joes. Can't wait. Truly delicious."" Editorial contributions by Corey Williams ","[""1 (.25 ounce) package active dry yeast (such as Fleischmann's ActiveDry Yeast®)"", '1 pound all-purpose flour, or as needed - divided', '1 cup warm water (105 degrees F/41 degrees C)', '2 large eggs, divided', '3 tablespoons butter, melted', '3 tablespoons white sugar', '1 ¼ teaspoons salt', '1 teaspoon olive oil', '1 tablespoon milk', '1 teaspoon sesame seeds, or as needed']","['Place yeast into bowl of a large stand mixer; whisk in 1/2 cup flour and warm water until smooth. Let stand until mixture is foamy, 10 to 15 minutes.', 'Whisk 1 egg, melted butter, sugar, and salt thoroughly into the yeast mixture. Add remaining flour (about 3 cups).', 'Fit a dough hook onto stand mixer and knead the dough on low speed until soft and sticky, 5 to 6 minutes. Scrape sides if needed. Poke and prod the dough with a silicone spatula; if large amounts of dough stick to the spatula, add a little more flour.', 'Transfer dough onto a floured work surface; dough will be sticky and elastic but should not stick to your fingers. Gently form dough into a smooth, round shape, tucking loose ends underneath.', 'Wipe out the stand mixer bowl and drizzle in olive oil. Place dough in the bowl and turn it several times until the surface is thinly coated with oil. Cover the bowl with aluminum foil and let dough rise in a warm place until doubled in size, about 2 hours.', 'Line a baking sheet with a silicone mat or parchment paper.', 'Transfer dough to a floured work surface and pat to flatten any bubbles; form into a slightly rounded, 5x10-inch rectangle, about 1/2 inch thick. Dust dough lightly with flour if needed and cut into 8 equal pieces. Form each piece into a round shape, gently tucking ends underneath as before.', 'Use your hands to gently pat and stretch the dough rounds into flat, 1/2-inch-thick discs. Arrange buns about 1/2 inch apart on the prepared baking sheet. Dust buns very lightly with flour. Drape a piece of plastic wrap over the baking sheet (do not seal tightly). Let buns rise until doubled in size, about 1 hour.', 'Preheat the oven to 375 degrees F (190 degrees C).', 'Beat remaining egg with milk in a small bowl, using a fork, until mixture is thoroughly combined. Very gently and lightly brush tops of buns with egg wash without deflating the risen dough. Sprinkle each bun with sesame seeds.', 'Bake in the preheated oven until lightly browned on top, 15 to 17 minutes. Buns will stick together slightly where they touch. Let cool completely. Tear the buns apart and slice in half crosswise to serve.', 'One pound of flour is equal to about 3 1/2 cups.', ""When in doubt, go for dough that's a little too sticky rather than too dry. You can always knead a little more flour into these.""]",bread,3 hrs 10 mins,,,
821,Basic Corn Muffins,4.5,(858),722,10 mins,20 mins,30 mins,12,12 muffins,"Looking for a perfect Southern side dish to pair with all your favorite comfort foods? Corn muffins are always a good idea. This top-rated corn muffin recipe is incredibly easy to make, comes together quickly with pantry staples, and will be beloved by everyone at your table. Here's what you'll need to make the best basic corn muffins of your life: CornmealChoose a fine or medium grain cornmeal. A medium grain will give you more texture, while a fine grain will make for a denser texture (as more liquid will be absorbed). FlourAll-purpose flour reacts with the other ingredients to give the corn muffins structure. SugarWhite sugar adds subtle sweetness. Of course, you can adjust the amount depending on how sweet you like your corn muffins. Baking PowderBaking powder acts as a leavener and helps your corn muffins rise. SaltJust a bit of salt enhances the flavor of your corn muffins. EggA whole egg adds richness, moisture, and flavor. Also, it works with the flour to add structure. OilCanola oil adds moisture, ensuring your corn muffins are never dry. MilkYou can use whole milk (or whatever alternative milk you have on hand). Some reviewers say they've had success with buttermilk. You'll find the full, step-by-step recipe below — but here's a brief overview of what to expect when you make these top-rated corn muffins: Make the batter by mixing the dry ingredients, then adding the wet ingredients. Spoon the batter into a greased or lined muffin pan. Bake in a preheated oven until the corn muffins are golden brown and a toothpick inserted into the center comes out clean. Line an airtight container with paper towels to absorb excess oil. Arrange the corn muffins in a single layer. Seal the container and store at room temperature for up to four days. Yes, you can freeze corn muffins for up to three months. To freeze corn muffins: Arrange them in a single layer on a baking sheet, cover, and flash freeze for at least three hours or up to overnight. When the muffins are frozen, transfer them to an airtight freezer bag labeled with the date. Freeze for up to three months and thaw at room temperature. ""I added Cajun seasoning, hot pepper flakes, and some garlic powder just to give them some kick,"" says Leslie Hucthinson. ""The recipe was moist and crumbly. Very easy and very quick!"" ""Basic, but big on flavor,"" according to Connie Greco. ""I added chopped onions, cheddar and green pepper. Gone in no time! Have to make lots more."" ""Terrific,"" raves Dianne. ""Who needs a mix when you can make it from scratch so easily? I added ½ teaspoon cinnamon and served it with maple butter. Great with beef stew or chili."" Editorial contributions by Corey Williams ","['1 cup cornmeal', '1 cup all-purpose flour', '⅓ cup white sugar', '2 teaspoons baking powder', '½ teaspoon salt', '1  egg, beaten', '¼ cup canola oil', '1 cup milk']","['Preheat oven to 400 degrees F (200 degrees C). Grease muffin pan or line with paper muffin liners.', 'In a large bowl, mix together corn meal, flour, sugar, baking powder and salt. Add egg, oil and milk; stir gently to combine. Spoon batter into prepared muffin cups.', 'Bake at 400 degrees F (200 degrees C) for 15 to 20 minutes, or until a toothpick inserted into a muffin comes out clean.']",bread,,,,
822,Baked Apple Cider Donuts,4.5,(33),31,15 mins,20 mins,45 mins,12,12 donuts,,"['2 cups fresh apple cider', '2 cups all-purpose flour', '¾ teaspoon baking powder', '¾ teaspoon baking soda', '¼ teaspoon fine salt', '1 teaspoon ground cinnamon', '1 pinch ground cardamom', '1 pinch freshly grated nutmeg', '½ cup white sugar', '½ cup packed brown sugar', '½ cup warm milk', '6 tablespoons unsalted butter, melted, divided', '¾ teaspoon vanilla extract', '1 large egg', '1 cup white sugar, or as needed', '1 tablespoon ground cinnamon, or as needed']","['Preheat the oven to 375 degrees F (190 degrees C). Butter two 6-cup donut pans.', 'Pour apple cider into a saucepan and place over medium heat. Bring to a simmer and let it cook, watching carefully, until the cider is reduced to 1/2 cup. If it reduces too much, add enough water to make 1/2 cup. Set aside until needed.', 'Add flour, baking powder, baking soda, salt, 1 teaspoon cinnamon, cardamom, and nutmeg to a large bowl. Mix with a whisk until combined and set aside until needed.', 'Whisk 1/2 cup white sugar, brown sugar, milk, 2 tablespoons melted butter, vanilla extract, and egg together in another bowl until combined. Add the apple cider reduction and the dry ingredients. Whisk together to form a slightly thick batter; do not overmix.', 'Spoon or pipe the batter into the prepared donut pans, filling them about 3/4 of the way up.', 'Bake in the center of the preheated oven until the tops are lightly browned, and the donuts spring back slightly to the touch, 10 to 12 minutes. Let cool for 10 minutes in the pans before removing to a sheet pan lined with a silicone baking mat. Cut out any donut holes as necessary.', 'If desired, while still slightly warm, brush the donuts lightly with remaining melted butter. Mix 1 cup white sugar and 1 tablespoon cinnamon together for topping in a shallow dish; toss in donuts to coat. Let cool completely before serving.', ""If you want to cook slower and safer when making the apple cider reduction, you can always use lower heat. Or if you're in a hurry and like a bit of danger, you can do this on high heat."", 'Donuts can also be glazed with icing (powdered sugar with a little apple cider) or served plain as-is.']",bread,10 mins,,,
823,Brazilian Cheese Bread (Pao de Queijo),4.4,(344),276,10 mins,20 mins,40 mins,6,6 breads,,"['½ cup olive oil or butter', '⅓ cup water', '⅓ cup milk or soy milk', '1 teaspoon salt', '2 cups tapioca flour', '2 teaspoons minced garlic', '⅔ cup freshly grated Parmesan cheese', '2  beaten eggs']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Combine olive oil, water, milk, and salt in a large saucepan and place over high heat. Bring to a boil and immediately remove from the heat.', 'Stir in tapioca flour and garlic, stirring until smooth. Set aside to rest for 10 to 15 minutes.', 'Stir cheese and eggs into tapioca mixture until combined; the dough will be chunky, like cottage cheese.', 'Drop dough by 1/4 cup-size balls onto an ungreased baking sheet.', 'Bake in the preheated oven until the tops are lightly browned, 15 to 20 minutes.']",appetizers-and-snacks,10 mins,,,
