,recipe_title,star_rating,rating_count,review_count,prep_time,cook_time,total_time,servings,writeup,ingr,steps,category,number_of_steps,average_step_len
183,Turkey Carcass Soup,4.7,396.0,316.0,45.0,2.0,165.0,12.0,2587,18,"Place turkey carcass into a large soup pot; pour in water and bring to a boil over medium heat. Reduce heat to a simmer, and cook until the remaining meat falls off the bones, about 1 hour., Remove turkey carcass from the pot. Remove and chop any remaining turkey meat. Discard carcass., Strain broth through a fine mesh strainer into a clean soup pot. Add chopped turkey to the strained broth and bring to a boil., Reduce heat and stir in tomatoes, potatoes, carrots, onion, celery, cabbage, barley, Worcestershire sauce, salt, parsley, basil, bay leaf, pepper, paprika, poultry seasoning, and thyme. Simmer until vegetables are tender, about 1 more hour., Remove bay leaf before serving.",soups-stews-and-chili,5,137.0
184,Fresh Tomato Soup,4.6,1739.0,1379.0,5.0,30.0,35.0,6.0,2617,8,"In a stockpot, over medium heat, combine the tomatoes, large slice of onion, garlic cloves, and chicken broth. Bring to a boil, and gently boil for about 20 minutes to blend all of the flavors. Remove from heat and run the mixture through a food mill into a large bowl, or pan. Discard any stuff left over in the food mill., In the now empty stockpot, melt the butter over medium heat. Stir in the flour to make a roux, cooking until the roux is a medium brown. Gradually whisk in a bit of the tomato mixture, so that no lumps form, then stir in the rest. Season with sugar and salt, and adjust to taste.",soups-stews-and-chili,2,301.5
185,Ham and Split Pea Soup Recipe — A Great Soup,4.8,764.0,617.0,15.0,90.0,105.0,8.0,0,10,"Melt butter in a large soup pot over medium-low heat. Stir in celery, onion, and sliced garlic; cook and stir until onions are translucent but not brown, 5 to 8 minutes., Stir in split peas, ham, and bay leaf. Pour in chicken stock and water; stir to combine and simmer until peas are tender and soup has thickened, about 1 hour and 15 minutes. Stir occasionally. Season with salt and black pepper to serve.",soups-stews-and-chili,2,203.0
186,Easy Homemade Chili,4.3,452.0,352.0,10.0,20.0,30.0,6.0,0,9,"Place ground beef and onion in a large saucepan over medium heat; cook and stir until meat is browned and onion is tender, about 5 to 7 minutes., Stir in tomato sauce, kidney beans, stewed tomatoes with juice, and water. Season with chili powder, garlic powder, salt, and black pepper. Bring to a boil, reduce heat to low, cover and let simmer for 15 minutes.",soups-stews-and-chili,2,179.0
187,My Best Clam Chowder,4.6,2454.0,1901.0,20.0,25.0,45.0,8.0,0,12,"Place potatoes, carrots, celery, and onion into a large skillet; pour in clam juice and add enough water to cover. Cook and stir over medium-low heat until vegetables are tender., Meanwhile, melt butter in a large, heavy saucepan over medium heat. Whisk in flour until smooth. Whisk in cream and stir constantly until thick and smooth. Stir in vegetable mixture with any juices until just heated through., Stir in clams just before serving. If they cook too much they get tough. When clams are heated through, stir in vinegar and season with salt and pepper.",soups-stews-and-chili,3,185.33333333333334
188,Lentil Soup,4.5,3157.0,2293.0,15.0,80.0,95.0,8.0,2368,15,"Heat oil in a large soup pot over medium heat. Add onions, carrots, and celery; cook and stir until onion is tender, 3 to 5 minutes. Stir in garlic, bay leaf, oregano, and basil; cook for 2 minutes., Stir in lentils, and add water and tomatoes. Bring to a boil. Reduce heat and let simmer until lentils are tender, at least 1 hour., When ready to serve, stir in spinach and cook until it wilts. Stir in vinegar and season with salt and pepper; taste and adjust as needed.",soups-stews-and-chili,3,156.33333333333334
189,Super-Delicious Zuppa Toscana,4.8,3401.0,2444.0,20.0,55.0,75.0,6.0,0,9,"Cook Italian sausage and red pepper flakes in a Dutch oven over medium-high heat until crumbly, browned, and no longer pink, 10 to 15 minutes. Drain and set aside., Cook bacon in the same Dutch oven over medium heat until crisp, about 10 minutes. Drain, leaving a few tablespoons of drippings with the bacon in the bottom of the Dutch oven. Stir in onions and garlic; cook until onions are soft and translucent, about 5 minutes., Stir in chicken broth and bring to a boil over high heat. Add potatoes and simmer until fork tender, about 20 minutes. Reduce heat to medium; stir in cream, cooked sausage, and spinach. Cook and stir until spinach has wilted and sausage is warmed through; serve., Please note the differences in serving size and the substitution of lacinato kale for spinach when using the magazine version of this recipe.",soups-stews-and-chili,4,208.0
190,The Best Vegetarian Chili in the World,4.7,2226.0,1648.0,15.0,1.0,75.0,8.0,0,19,"Heat olive oil in a large pot over medium heat. Stir in onion and season with oregano, salt, cumin, and bay leaves. Cook and stir until onion is tender; stir in celery, green bell peppers, jalapeños, and garlic. Add green chile peppers and cook until heated through. Stir in vegetarian burger crumbles; reduce heat to low, cover pot, and simmer for 5 minutes., Stir in tomatoes; season with chili powder and black pepper. Stir in kidney beans, garbanzo beans, and black beans. Bring to a boil, reduce heat to low, and simmer for 45 minutes., Stir in the corn, and continue cooking for 5 minutes before serving.",soups-stews-and-chili,3,202.66666666666666
191,Caldo de Res (Mexican Beef Soup),4.8,342.0,254.0,30.0,2.0,150.0,8.0,0,19,"Cut the meat from the beef bones into about 1/2 inch pieces, leaving some on the bones., Heat a heavy soup pot over medium-high heat until very hot. Add oil, tilting the pan to coat the bottom. Add meat and bones and season with salt and pepper. Cook and stir until thoroughly browned., Add onion and cook until lightly browned; stir in broth and tomatoes. The liquid should cover the bones by 1/2 inch. If not, add some water to compensate. Reduce heat to low; simmer with the lid on loosely until meat is tender, about 1 hour., Pour in 4 cups water, and return to a simmer. Add carrots and 1/4 cup cilantro, and cook for 10 minutes. Stir in chayote, corn, and potato; simmer until vegetables are tender. Push cabbage wedges into soup; cook until tender, about 10 minutes., Ladle soup into large bowls, including some meat, vegetables, and bones. Garnish with cilantro, jalapeños, and minced onion. Squeeze lime juice over soup and serve with radishes., Please note the differences in ingredient amounts and cook time when using the magazine version of this recipe.",soups-stews-and-chili,6,176.83333333333334
192,Classic Goulash,4.5,2154.0,1658.0,15.0,65.0,80.0,8.0,0,11,"Cook and stir ground beef in a large Dutch oven over medium-high heat, breaking the meat up as it cooks, until no longer pink and has started to brown, about 10 minutes. Skim off excess fat. Add onions and garlic; cook and stir until onions are translucent, about 5 more minutes., Stir in water, tomato sauce, diced tomatoes, soy sauce, Italian seasoning, seasoned salt, and bay leaves; bring to a boil over medium heat. Reduce heat to low, cover, and simmer for 20 minutes, stirring occasionally., Stir in uncooked macaroni, cover, and simmer over low heat until pasta is tender, about 25 minutes, stirring occasionally. Remove from heat, discard bay leaves, and serve., Preheat a slow cooker on High. Make the recipe through Step 1; place browned beef and onion mixture into the preheated slow cooker. Mix in water, tomato sauce, diced tomatoes, soy sauce, Italian seasoning, seasoned salt, and bay leaves. Add uncooked macaroni and stir until thoroughly combined. Cook on High for 1 hour.",soups-stews-and-chili,4,247.0
193,Cabbage Fat-Burning Soup,4.5,2152.0,1700.0,20.0,25.0,45.0,15.0,0,11,"Place celery, carrots, onions, cabbage, bell peppers, and green beans in a large soup pot., Add tomato juice, tomatoes, beef broth, and enough water to cover vegetables; add onion soup mix and stir to combine. Bring to a boil over medium heat; reduce heat to low and simmer until vegetables are tender, about 25 minutes.",soups-stews-and-chili,2,159.5
194,Delicious Ham and Potato Soup,4.8,14745.0,10897.0,20.0,20.0,40.0,8.0,0,11,"Combine potatoes, water, ham, celery, and onion in a stockpot. Bring to a boil; simmer over medium heat until potatoes are tender, 10 to 15 minutes. Stir in chicken bouillon, pepper, and salt., Melt butter in a separate saucepan over medium-low heat. Add flour; cook and stir until thick, about 1 minute. Whisk in milk; cook and stir until thick, 4 to 5 minutes., Pour milk mixture into the stockpot; cook and stir until warmed through.",soups-stews-and-chili,3,144.66666666666666
195,Slow Cooker Chicken and Dumplings,4.4,9773.0,7157.0,10.0,5.0,310.0,8.0,3093,6,"Place chicken, condensed soup, onion, and butter in a slow cooker. Add enough water to cover., Cover and cook for 5 to 6 hours on High., About 30 minutes before serving, tear biscuit dough into pieces. Place dough in the slow cooker. Cook until dough is no longer raw in the center., Cover chicken with stock instead of water for a richer flavor, if you prefer., You can use more biscuit dough if you like, but the biscuits might take longer to cook.",soups-stews-and-chili,5,89.2
196,Ukrainian Red Borscht Soup,4.5,471.0,346.0,25.0,40.0,65.0,10.0,0,15,"Crumble sausage into a skillet set over medium-high heat. Cook and stir until no longer pink. Remove from the heat and set aside., Fill a large pot halfway with water (about 8 cups) and bring to a boil., Add sausage to pot, cover pot, and return to a boil. Add beets and cook until they have lost their color. Add carrots and potatoes and simmer until tender, about 15 minutes., Add cabbage and diced tomatoes to pot., Heat oil in a skillet over medium heat. Add onion and cook until tender. Stir in tomato paste and remaining 3/4 cup water until well blended. Transfer to the pot., Add garlic to the soup, cover, and turn off the heat. Let stand 5 minutes. Stir in sugar and season with salt and pepper., Ladle into serving bowls. Garnish with sour cream and parsley.",soups-stews-and-chili,7,108.85714285714286
197,The Best Thai Coconut Soup,4.6,1613.0,1263.0,30.0,30.0,1.0,8.0,0,13,"Heat oil in a large pot over medium heat. Add ginger, curry paste, and lemongrass; cook and stir in the hot oil for 1 minute., Gradually stir in chicken broth, then stir in fish sauce and brown sugar; reduce heat to low and simmer for 15 minutes., Add coconut milk and mushrooms; cook and stir until mushrooms are soft, about 5 minutes., Add shrimp; cook until no longer translucent, about 5 minutes. Stir in lime juice; season with salt and garnish with cilantro.",soups-stews-and-chili,4,115.25
198,Baked Potato Soup,4.7,2341.0,1742.0,15.0,25.0,40.0,6.0,2231,10,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 8 to 10 minutes. Drain bacon slices on paper towels; crumble and set aside., Meanwhile, melt butter in a stockpot or Dutch oven over medium heat. Gradually add flour, whisking until well-combined. Slowly pour in milk, whisking constantly until smooth and thickened., Add potatoes and onions and bring to a boil, stirring frequently. Reduce heat and simmer for 10 minutes., Stir in crumbled bacon, Cheddar cheese, sour cream, salt, and pepper. Continue cooking and stirring until cheese is melted.",soups-stews-and-chili,4,151.5
199,Best Damn Chili,4.7,681.0,534.0,30.0,135.0,165.0,12.0,4169,28,"Heat oil in a large pot over medium heat; cook and stir onion, bell pepper, Anaheim pepper, jalapeno peppers, and garlic in the hot oil until softened., Meanwhile, heat a large skillet over medium-high heat. Cook and stir beef in the hot skillet until browned and crumbly, 5 to 7 minutes; add Worcestershire sauce and garlic powder. Crumble bouillon cubes over beef and add beer. Continue to cook , scraping any browned bits from the bottom of the skillet, until liquid is hot, about 3 minutes. Stir beef mixture into pepper mixture., Stir crushed tomatoes, diced tomatoes, tomato paste, and wine to the beef mixture. Season with chili powder, 2 tablespoons cumin, brown sugar, pepper sauce, basil, paprika, salt, oregano, and black pepper. Bring to a boil and reduce heat to medium-low. Cover and simmer until meat and vegetables are very tender and flavors have developed in the chili, about 90 minutes, stirring occasionally., Mix kidney beans into beef and vegetables. Continue to simmer until beans are hot, about 30 minutes more., Blend sour cream, cilantro, and remaining 1/2 teaspoon cumin in a food processor until smooth. Serve sour cream mixture with chili.",soups-stews-and-chili,5,232.8
200,Caldo de Pollo,4.8,57.0,47.0,20.0,110.0,130.0,8.0,0,12,"Place chicken legs into a large stockpot; pour water over chicken. Add minced garlic, salt, and garlic powder., Cover and bring to a boil over high heat. Reduce to a simmer and cook until chicken meat falls off the bones, 1 to 2 hours., Stir in chicken bouillon cube until dissolved; add carrots, potatoes, zucchini, chayote, and white onion. Reduce heat to medium-low and simmer until carrots and potatoes are tender, 45 minutes to 1 hour., Stir chopped cilantro into soup. Simmer for 5 minutes and serve., The pot should be covered with a lid at all times when you are not adding ingredients., I didnt add much salt to the recipe, so feel free to add more to your liking.",soups-stews-and-chili,6,111.33333333333333
201,Chef John's Creamy Mushroom Soup,4.7,563.0,454.0,10.0,85.0,95.0,6.0,2398,12,"Melt butter in a large soup pot over medium-high heat. Sauté mushrooms and 1 pinch salt in the melted butter until mushrooms release their juices, 5 to 10 minutes., Reduce heat to medium-low and continue to cook, stirring often, until juices evaporate and mushrooms are caramelized, 15 to 25 minutes. Set aside a few attractive mushroom slices for garnish later, if desired., Add onion to the mushrooms; cook until onion is soft and translucent, about 5 minutes., Stir flour into the mushroom mixture and cook, stirring often, to remove the raw flour taste, about 2 minutes., Add thyme bundle and garlic cloves, then pour in 4 cups chicken broth and 1 cup water. Reduce heat to low and simmer for 1 hour. Remove and discard thyme bundle., Puree soup with an immersion blender until smooth and thick. Stir in cream. If too thick, add a little chicken broth or water. Season with salt and black pepper., Ladle into bowls, and garnish with reserved mushroom slices and thyme leaves., Prep time assumes you are using pre-sliced mushrooms. If not, your prep time will be longer., If you dont have an immersion blender, puree the soup in a blender in small batches.",soups-stews-and-chili,9,127.88888888888889
202,Simple Turkey Chili,4.6,2322.0,1718.0,15.0,45.0,1.0,8.0,2492,14,"Heat oil in a large pot over medium heat. Add turkey; cook and stir until evenly browned, 6 to 8 minutes. Stir in onion and cook until tender., Add water; mix in tomatoes, kidney beans, and garlic. Stir in chili powder, paprika, oregano, cayenne pepper, cumin, salt, and pepper., Bring to a boil. Reduce heat to low, cover, and simmer for 30 minutes.",soups-stews-and-chili,3,116.0
203,Broccoli Cheese Soup,4.6,3089.0,2347.0,10.0,25.0,35.0,12.0,0,9,"Melt butter in a stockpot over medium heat. Add onion and cook, stirring occasionally, until softened. Stir in broccoli. Add broth and simmer until broccoli is tender, 10 to 15 minutes., Reduce heat; add cheese cubes and stir until melted. Stir in milk and garlic powder., Stir cornstarch and water together in a small bowl until smooth. Stir into soup; cook, stirring frequently, until thick.",soups-stews-and-chili,3,130.33333333333334
204,Slow Cooker Taco Soup,4.6,2355.0,1709.0,10.0,8.0,490.0,8.0,1458,10,"In a medium skillet, cook the ground beef until browned over medium heat. Drain, and set aside., Place the ground beef, onion, chili beans, kidney beans, corn, tomato sauce, water, diced tomatoes, green chile peppers and taco seasoning mix in a slow cooker. Mix to blend, and cook on Low setting for 8 hours.",soups-stews-and-chili,2,153.5
205,Just Like Wendy's Chili,4.8,799.0,651.0,15.0,80.0,95.0,10.0,0,14,"Heat olive oil in a large pot over medium-high heat. Press ground beef into the hot oil to form one large patty; let the bottom brown, 8 to 10 minutes., Stir and break browned beef into crumbles. Continue to cook until no longer pink, about 5 minutes longer., Stir celery, onion, and bell pepper into beef and cook until onion is translucent, about 5 minutes., Pour in stewed tomatoes, tomato sauce, diced tomatoes with green chiles, and water. Break apart large chunks of stewed tomatoes. Stir in chili seasoning. Stir in kidney and pinto beans. Season with salt and pepper., Bring to a boil, then reduce heat to low, and simmer for 1 hour., Mix vinegar into chili just before serving., To adjust the heat, feel free to add cayenne pepper. The original Wendys chili has more beans in it, so you could double the amount above if you prefer that style.",soups-stews-and-chili,7,120.71428571428571
206,Boilermaker Tailgate Chili,4.8,7983.0,5484.0,30.0,2.0,150.0,12.0,0,28,"Heat a large stock pot over medium-high heat. Crumble ground chuck and sausage into the hot pan. Cook, stirring frequently, until meat is evenly browned. Drain off excess grease., Pour in chili beans, spicy chili beans, diced tomatoes, and tomato paste. Add celery, onion, bell peppers, chile peppers, bacon bits, bouillon, beer, 1/4 cup chili powder, garlic, Worcestershire sauce, oregano, cumin, hot pepper sauce, basil, cayenne, paprika, sugar, 1 teaspoon salt, and 1 teaspoon black pepper. Stir to blend, then cover and simmer over low heat for at least 2 hours, stirring occasionally., Taste and season with more salt, pepper, and chili powder if necessary. The longer the chili simmers, the better it will taste. Remove from the heat and serve, or cool, refrigerate, and reheat the next day., To serve, ladle hot chili into bowls and top with corn chips and Cheddar cheese.",soups-stews-and-chili,4,219.0
207,Cream of Mushroom Soup,4.7,1321.0,1053.0,20.0,30.0,50.0,6.0,0,10,"Simmer mushrooms, broth, onion, and thyme in a large heavy saucepan until vegetables are tender, 10 to 15 minutes., Carefully transfer the hot mixture to a blender or food processor. Cover and hold lid down with a potholder; pulse until creamy but still with some chunks of vegetable., Melt butter in the same saucepan. Whisk in flour until smooth. Whisk in salt and pepper. Slowly whisk in half-and-half and mushroom mixture., Bring soup to a boil and cook, stirring constantly, until thickened., Stir in sherry. Taste and season with salt and pepper if needed.",soups-stews-and-chili,5,111.6
208,Day-After-Thanksgiving Turkey Carcass Soup,4.5,263.0,216.0,15.0,100.0,115.0,10.0,2451,14,"Place turkey carcass in a large, deep pot. Add stuffing, onion, carrots, celery, poultry seasoning, sage, and bay leaves. Pour in chicken broth, and add additional water, if needed, to cover. Bring to a boil over medium-high heat., Reduce heat to medium and simmer, skimming off any foam, for about 1 hour. Remove carcass and any bones., Pick any meat off carcass and bones. Return meat to the pot and discard bones and skin., Season soup with garlic salt and pepper. Stir in rice and return to a boil over medium-high heat. Reduce heat to medium and simmer for 15 minutes. Stir in peas, and continue to simmer until rice is tender, about 10 minutes more., Adjust seasonings to taste before serving.",soups-stews-and-chili,5,139.0
209,Jeff's Hot Dog Chili,4.5,421.0,342.0,10.0,20.0,30.0,6.0,0,10,"Place ground beef and water in a large saucepan; use a potato masher to break apart beef., Stir in tomato sauce, ketchup, chili powder, salt, black pepper, sugar, onion powder, and Worcestershire sauce., Bring to a boil, then simmer over medium heat until beef is cooked and chili thickens, about 20 minutes., You can substitute ground turkey for ground beef. Just add a little oil to the saucepan before cooking.",soups-stews-and-chili,4,102.5
210,Homemade Chili,4.7,69.0,55.0,10.0,255.0,265.0,12.0,2197,13,"Heat oil in a large skillet over medium-low heat. Add onion and garlic; cook and stir until onion is translucent, about 5 minutes. Add ground beef; cook and stir until browned, 8 to 10 minutes., Transfer beef mixture to a 6-quart slow cooker. Stir in kidney beans, diced tomatoes, tomato puree, water, green chile peppers, chili powder, salt, cumin, and black pepper., Cook on Low until flavors combine, 4 to 6 hours., I usually use a combination of beans like kidney and black or kidney and garbanzo. I usually use dried beans and cook them in my pressure cooker., If you cant find puree, just use tomato paste and add water to it to get a puree consistency.",soups-stews-and-chili,5,131.0
211,Hearty Barley Turkey Soup,4.8,78.0,56.0,10.0,215.0,225.0,12.0,2983,18,"Make turkey stock: Combine 5 quarts water and turkey carcass in a large stockpot over medium-high heat; bring to a boil. Add onion, carrot, celery, peppercorns, bay leaf, and thyme. Reduce heat and simmer, skimming excess fat and foam from the surface as needed and adding more water as it evaporates, for 2 to 2 1/2 hours., Remove carcass to a cutting board and cool. Strain stock; discard solids and return liquid to the pot., Pull meat from cooled carcass and discard bones. Shred meat and refrigerate until needed., Make soup: Add carrots, onions, celery, barley, mushrooms, bay leaves, salt, marjoram, pepper, and thyme to stock; bring to a boil. Reduce heat and simmer, stirring occasionally, until barley is fully cooked, about 1 hour 20 minutes., Return shredded turkey to the soup; simmer until heated through, about 10 minutes. Remove bay leaves and serve., If you brined your turkey, use less salt than called for in this recipe.",soups-stews-and-chili,6,155.83333333333334
212,Chicken Tortilla Soup,4.7,1983.0,1448.0,15.0,25.0,40.0,8.0,2743,18,"Heat oil in a stockpot over medium heat. Add onion and garlic; saute until soft, about 5 minutes. Stir in crushed tomatoes, condensed broth, water, chili powder, and oregano; bring to a boil. Reduce heat and simmer for 5 to 10 minutes., Stir in black beans, cooked chicken, corn, hominy, chile peppers, and cilantro. Simmer for 10 minutes., Ladle soup into individual serving bowls, and top with crushed tortilla chips, avocado slices, Monterey Jack cheese, and green onions.",soups-stews-and-chili,3,157.66666666666666
213,Healing Cabbage Soup,4.7,1759.0,1408.0,15.0,35.0,50.0,8.0,2429,9,"In a large stockpot, heat olive oil over medium heat. Stir in onion and garlic; cook until onion is transparent, about 5 minutes., Stir in water, bouillon, salt, and pepper. Bring to a boil, then stir in cabbage. Simmer until cabbage wilts, about 10 minutes., Stir in tomatoes. Return to a boil, then simmer 15 to 30 minutes, stirring often.",soups-stews-and-chili,3,113.0
214,Chicken Tinola,4.6,91.0,63.0,30.0,20.0,50.0,4.0,2045,11,"Heat oil in a large pot over medium heat. Add onion and garlic; cook and stir until fragrant, about 2 minutes. Add ginger and fish sauce; cook and stir for 1 to 2 minutes. Stir in chicken and cook for 5 minutes., Pour in chicken broth and cook for 5 minutes. Add squash and simmer until chicken is no longer pink in the center, about 10 minutes. Season with salt and pepper., Add bok choy and spinach; cook until spinach is just wilted, 1 to 2 minutes. Serve hot., You can use a green papaya instead of chayote squash if preferred.",soups-stews-and-chili,4,132.0
215,Jamaican Brown Stew Chicken,4.8,35.0,35.0,40.0,80.0,6.0,8.0,0,21,"Whisk together garlic, white parts of green onions, brown sugar, thyme, habanero, vinegar, ginger, salt, pepper, paprika, and allspice in a large mixing bowl., Make 2 cuts, about 1-inch apart, into the skin side of each thigh, perpendicular to the bone, cutting all the way down to the bone. Add chicken thighs to marinade; mix until evenly coated. Cover and place in the refrigerator to marinate, at least 4 hours or up to 12 hours. If possible, flip thighs several times while marinating., Remove chicken from marinade. Scrape off any chunks of marinade from chicken into the bowl and reserve for later., Heat 2 tablespoons oil in a large, deep, heavy-bottomed skillet or Dutch oven over medium-high heat until almost smoking. Working in batches, brown the chicken all over, about 5 minutes per side. Transfer chicken to the marinade bowl; set aside., Heat 1 tablespoon oil in the same pan over medium-high heat. Add onion and a pinch of salt; cook until golden brown, 3 to 5 minutes. Stir in 1 tablespoon brown sugar and cook until onions are dark brown and caramelized, 3 to 5 minutes more., Add chicken broth, ketchup, and bay leaves to the pan; bring to a boil. Add carrots, bell peppers, browned chicken thighs, and reserved marinade., Reduce heat to medium-low. Simmer, stirring occasionally, until chicken is tender and no longer pink in the center and sauce has reduced and thickened, 1 to 1 1/2 hours. Skim excess fat that floats to the top; baste chicken occasionally with sauce., Taste and adjust seasoning. Stir in green parts of green onions., If you prefer a less sweet flavor profile, use only 1 tablespoon of brown sugar in the marinade. You can get away with marinating the chicken for only 4 hours, but longer is better., You can use diced tomatoes instead of ketchup, and any seasonal vegetables that you like., If the chicken finishes cooking before the sauce reduces, remove the thighs and keep them warm while the sauce continues to simmer. If the sauce reduces and thickens before the chicken cooks, add a splash of water and continue to cook until chicken is done.",soups-stews-and-chili,11,189.0909090909091
216,Bean Soup,4.6,337.0,262.0,25.0,100.0,125.0,8.0,0,10,"Rinse beans; transfer to a large stockpot and add water. Bring to a boil and simmer for 2 minutes; remove from heat, cover, and let stand for 1 hour., Add ham bone, diced ham, onion, salt, pepper, and bay leaf. Bring to a boil; reduce heat to low, cover, and simmer until beans are soft, about 1 hour and 15 minutes., Add carrots and celery; cook until tender, about 10 to 15 minutes., Remove ham bone from the pot and place on a cutting board until cool enough to handle. Remove any meat from the bones and cut into bite-sized pieces; stir into soup until warmed through.",soups-stews-and-chili,4,142.25
217,Slow Cooker Chili,4.3,986.0,721.0,15.0,490.0,505.0,8.0,0,16,"Place beef in a skillet over medium heat and cook until evenly brown, 8 to 10 minutes. Drain grease., Transfer beef to a slow cooker and mix in onion, celery, bell pepper, garlic, tomato puree, kidney beans, and cannellini beans. Season with chili powder, salt, basil, oregano, parsley, black pepper, and hot pepper sauce., Cover and cook on Low for 8 hours.",soups-stews-and-chili,3,118.66666666666667
218,Incredibly Easy Chicken and Noodles,4.6,591.0,475.0,10.0,20.0,30.0,6.0,0,8,"Combine chicken broth, both condensed soups, and diced chicken in a large pot. Season with onion powder, seasoning salt, and garlic powder., Bring to a boil over high heat and stir in noodles. Reduce heat to low and simmer until desired consistency is reached, 20 to 30 minutes.",soups-stews-and-chili,2,138.5
219,Cioppino,4.8,872.0,654.0,10.0,40.0,50.0,13.0,0,18,"Melt butter in a large stockpot over medium-low heat. Add onions, parsley, and garlic. Cook and stir until onions are softened, 3 to 4 minutes., Add tomatoes to the pot (break them into chunks as you add them). Stir in chicken broth, wine, water, bay leaves, basil, thyme, and oregano. Cover and simmer for 30 minutes., Stir in cod, shrimp, scallops, clams, mussels, and crabmeat. Bring to boil; lower heat, cover, and simmer until clams open up, 5 to 7 minutes. Ladle soup into bowls and serve., Please note the differences in ingredient amounts when using the magazine version of this recipe.",soups-stews-and-chili,4,147.75
220,Louisiana Crawfish Étouffée,4.5,256.0,208.0,15.0,15.0,30.0,6.0,0,11,"Combine rice and 6 cups water in a saucepan. Bring to a boil over high heat., Reduce heat to low, cover the pan, and simmer until rice is tender and water has been absorbed, 15 to 20 minutes., While rice cooks, melt butter in a large skillet over medium heat. Add onion and cook, stirring, until transparent. Stir in garlic and cook until fragrant, about 1 minute., Stir in flour until blended. Gradually stir in tomato sauce and remaining 1 cup water. Add crawfish tails and bring to a simmer., Stir in green onions and season with salt, pepper, and Cajun seasoning., Reduce heat to low and simmer until crawfish is cooked through but not tough, 5 to 10 minutes., Serve étouffée over cooked rice.",soups-stews-and-chili,7,98.71428571428571
221,Italian Wedding Soup,4.6,983.0,765.0,20.0,30.0,50.0,4.0,3186,10,"Combine ground beef, egg, bread crumbs, Parmesan cheese, basil, and onion powder in a bowl; shape into 3/4-inch balls., Heat broth in a large pot over medium-high heat until boiling. Stir in escarole, orzo, carrot, and meatballs and return to boil. Reduce heat to medium and cook at slow boil, stirring frequently to prevent sticking, until pasta is tender yet firm to the bite, about 10 minutes.",soups-stews-and-chili,2,197.5
222,"Sausage, Potato and Kale Soup",4.7,561.0,449.0,10.0,50.0,1.0,12.0,0,10,"Heat a large soup pot over medium-high heat. Crumble sausage into the pot; cook and stir until browned, about 10 minutes. Drain and discard grease., Stir half-and-half, potatoes, chicken broth, milk, onion, oregano, and pepper flakes into sausage, and bring to a boil. Reduce heat to low and simmer until potatoes are tender, about 30 minutes., Season with black pepper. Stir in kale; simmer until kale is tender, 10 to 15 more minutes.",soups-stews-and-chili,3,144.66666666666666
223,Slow Cooker French Onion Soup,4.6,405.0,306.0,30.0,285.0,315.0,8.0,0,14,"Heat butter in a large, heavy pot over medium-high heat. Add onions; cook and stir until translucent, about 10 minutes. Sprinkle onions with sugar; reduce heat to medium. Cook, stirring constantly, until onions are soft and caramelized, at least 30 minutes. Stir in garlic and cook until fragrant, about 1 minute., Stir sherry into onion mixture; scrape the bottom to dissolve the small bits of browned food. Transfer onions into a slow cooker and pour in beef broth. Season with sea salt; stir in thyme and bay leaf. Cover and cook on Low for 8 to 10 hours or on High for 4 to 6 hours., Preheat the oven broiler about 10 minutes before serving. Set an oven rack about 8 inches from the heat source., Arrange bread slices on a baking sheet; broil until toasted, 1 to 2 minutes per side., Lightly toss Gruyere, Emmental, Parmesan, and mozzarella cheeses in a bowl. Fill oven-safe soup crocks 3/4 full with onion soup and float a bread slice in each bowl. Top each with about 2 tablespoons cheese mixture., Place filled bowls onto a baking sheet and broil until cheese topping is lightly browned and bubbling, about 2 minutes., If you like, put all the soup components — soup, toasted bread, and cheese mixture — out on the table and let people make their soup! This seems to be the favored method when I host a craft night. People can make their own decisions about what they want in or on their soup!",soups-stews-and-chili,7,199.14285714285714
224,Ham and Beans,4.3,480.0,399.0,15.0,2.0,615.0,7.0,0,8,"Rinse beans; transfer to a large stockpot. Cover with cold water and let stand overnight or at least 8 hours. Drain and rinse beans., Return beans to stockpot; add ham, onion, sugar, parsley, and cayenne pepper. Pour in enough water to cover and season with salt and pepper. Bring to a boil; reduce heat to low and simmer until beans are tender, adding more water if needed, about 1 1/2 to 2 hours.",soups-stews-and-chili,2,198.5
225,New England Clam Chowder,4.5,742.0,574.0,15.0,35.0,50.0,8.0,0,9,"Place diced bacon in a large stockpot over medium-high heat; cook and stir until almost crisp. Add onion; cook and stir until tender, about 5 minutes., Stir in potatoes and add water; season with salt and pepper and bring to a boil. Reduce heat to low and simmer, uncovered, until potatoes are tender, about 15 minutes., Pour in half-and-half and add butter. Drain clams, reserving clam liquid; stir clams and 1/2 of the clam liquid into the soup. Cook until heated through, without boiling, about 5 minutes.",soups-stews-and-chili,3,168.66666666666666
226,Easy White Chicken Chili,4.5,229.0,186.0,20.0,35.0,55.0,4.0,0,13,"Heat olive oil in a Dutch oven over medium heat. Cook chicken, onion, and garlic in hot oil until the chicken is browned completely, 3 to 5 minutes per side., Remove the chicken to a cutting board, cut into 1-inch pieces, and return to the Dutch oven. Add chicken broth, cannellini beans, green chiles, oregano, cumin, and cayenne pepper. Bring the mixture to a simmer and cook until the chicken is cooked through, 30 to 45 minutes., Divide cilantro among 4 bowls. Ladle chili over cilantro and top with cheese. Season with salt to serve.",soups-stews-and-chili,3,178.66666666666666
